,old_formation,EE,change_to
2044,Gonnesa,absent,Gonnesa
2045,Goodland,absent,Goodland Limestone
2046,Goodland Limestone,absent,Goodland Limestone
2047,Goodwin,absent,Goodwin
2048,Goodwood,present,Goodwood
8360,Goodwood Fm,present,Goodwood
,,,
,,,
8000,Goose Creek,present,Goose Creek
9388,Goose Egg,present,Goose Egg
8180,Goradongar,present,Goradongar
2051,Gorbiyachin,absent,Gorbiyachin
6678,Gordon Limestone,present,Gordon Limestone
2052,Gorge,absent,Gorge
2053,Gorman,absent,Gorman
2054,Gornji Grad,absent,Gornji Grad
2055,Gornji Grad Beds,absent,Gornji Grad
8687,Gornji Humac,present,Gornji Humac
8704,Gorno,present,Gorno
2056,Gorodok,absent,Gorodok
2057,Gorran Quartzites,absent,Gorran Quartzites
7760,Goryachikh Klyuchey,present,Goryachikh Klyuchey
2058,Goshonoura,absent,Goshonoura
2059,Goslar,absent,Goslar
8870,Gosport,present,Gosport
6943,Gosport Sand,present,Gosport
2060,Goughs Canyon,absent,Goughs Canyon
8420,Gour-de-l'Arche,present,Gour-de-l'Arche
2061,Goutang,absent,Goutang
2062,Gowanda,absent,Gowanda
2063,Gowanda Shale,absent,Gowanda
6407,Gowers,present,Gowers
8260,Goyasu,present,Goyasu
6421,Goyder,present,Goyder
2064,Grabenbach,absent,Grabenbach
7698,Grabfeld,present,Grabfeld
2065,Gracilis,absent,Gracilis
2066,Grafenberg,absent,Grafenberg
6833,Graford,present,Graford
2067,Graham,absent,Graham
2068,Graig-wen Sandstone,absent,Graig-wen Sandstone
7241,Gram,present,Gram
8749,Gramame,present,Gramame
9169,Gran Bajo del Gualicho,present,Gran Bajo del Gualicho
2069,Grand Auverne,absent,Grand Auverne
7931,Grand Bay,present,Grand Bay
6583,Grand Detour,present,Grand Detour
2070,Grand Tower,absent,Grand Tower
2071,Grand-Auverné,absent,Grand-Auverné
2072,Grandcourt,absent,Grandcourt
2073,Grande Greve,absent,Grande Greve
2074,Grands Breux,absent,Grands Breux
2075,Graneros,absent,Graneros
2076,Graneros Shale,absent,Graneros
